CCAA,Sex,Year,Inf_Secundaria_25_64,Inf_Secundaria_25_34,Inf_Secundaria_55_64,Segunda_Etapa_25_64,Segunda_Etapa_25_34,Segunda_Etapa_55_64,Superior_25_64,Superior_25_34,Superior_55_64,Age12_Suitability,Age15_Suitability
Andalucia,Male,2024,44.8,34.0,53.4,21.3,25.1,18.0,33.9,40.9,28.6,87.1,67.5
Aragon,Male,2024,32.3,24.6,39.7,25.1,26.4,25.5,42.6,48.9,34.8,83.5,66.9
"Asturias, Principado de",Male,2024,32.6,19.0,42.9,27.5,27.4,29.2,39.9,53.6,27.9,92.4,78.7
"Balears, Illes",Male,2024,41.7,32.8,53.0,24.1,21.6,23.4,34.3,45.7,23.6,88.9,69.7
Canarias,Male,2024,44.4,27.7,53.7,22.6,30.5,21.2,33.0,41.7,25.0,89.0,69.5
Cantabria,Male,2024,28.9,13.8,33.4,23.6,24.7,25.9,47.5,61.5,40.7,89.5,77.8
Castilla y Leon,Male,2024,37.4,23.4,45.4,24.0,26.8,24.8,38.6,49.8,29.8,84.8,71.0
Castilla-La Mancha,Male,2024,47.9,32.1,57.5,18.8,20.3,18.7,33.3,47.7,23.8,84.3,67.1
Cataluna,Male,2024,32.0,19.7,37.6,22.4,20.9,28.2,45.7,59.4,34.2,95.1,86.6
Comunitat Valenciana,Male,2024,39.3,24.7,49.9,21.8,23.5,21.5,38.9,51.8,28.5,88.0,68.1
Extremadura,Male,2024,51.3,35.2,65.2,17.2,22.2,13.9,31.6,42.6,20.9,86.6,73.6
Galicia,Male,2024,38.4,24.4,51.6,23.8,31.4,20.4,37.8,44.2,28.0,89.4,74.4
"Madrid, Comunidad de",Male,2024,23.5,17.2,27.0,21.5,19.5,26.9,55.0,63.3,46.1,86.4,70.2
"Murcia, Region de",Male,2024,41.9,32.2,46.9,23.0,23.2,22.9,35.1,44.7,30.3,84.2,65.8
"Navarra, Comunidad Foral de",Male,2024,26.0,18.9,34.7,23.7,19.5,26.1,50.3,61.6,39.3,84.4,74.2
Pais Vasco,Male,2024,19.4,7.1,30.1,22.3,17.4,24.7,58.3,75.6,45.2,87.6,77.1
"Rioja, La",Male,2024,37.1,21.2,45.8,21.5,21.8,21.1,41.4,57.0,33.1,85.2,71.5
Ceuta y Melilla,Male,2024,40.6,30.7,45.7,26.2,27.4,20.8,33.2,41.9,33.6,81.5,59.7
Andalucia,Female,2024,38.7,22.6,54.3,20.0,19.1,20.4,41.3,58.3,25.3,90.2,74.5
Aragon,Female,2024,25.2,13.3,38.9,23.4,21.2,25.7,51.5,65.6,35.5,86.3,73.8
"Asturias, Principado de",Female,2024,23.3,10.9,36.6,25.7,21.4,27.3,51.1,67.7,36.1,93.9,82.4
"Balears, Illes",Female,2024,33.7,21.9,51.0,23.9,18.9,24.6,42.5,59.2,24.4,91.0,76.8
Canarias,Female,2024,34.6,19.3,51.0,26.3,25.1,23.9,39.0,55.6,25.1,91.7,77.4
Cantabria,Female,2024,22.7,10.5,36.9,22.6,16.1,24.5,54.7,73.4,38.6,91.5,82.2
Castilla y Leon,Female,2024,28.1,16.8,41.3,21.7,17.2,22.6,50.2,66.0,36.1,88.1,77.4
Castilla-La Mancha,Female,2024,37.7,18.4,55.9,21.7,20.5,20.5,40.6,61.2,23.6,88.1,72.9
Cataluna,Female,2024,25.5,15.3,37.5,21.6,12.7,27.3,52.9,72.1,35.2,96.4,91.3
Comunitat Valenciana,Female,2024,31.4,12.9,48.1,21.3,15.3,23.0,47.3,71.8,28.9,90.7,76.2
