CCAA,Sex,Year,Lower_Unemployment_Rate,Middle_Unemployment_Rate,Upper_Unemployment_Rate,Lower_Emp_Rate_25_64,Lower_Emp_Rate_25_34,Middle_Emp_Rate_25_64,Middle_Emp_Rate_25_34,Upper_Emp_Rate_25_64,Upper_Emp_Rate_25_34,Lower_Activity_Rate_25_64,Lower_Activity_Rate_25_34,Middle_Activity_Rate_25_64,Middle_Activity_Rate_25_34,Upper_Activity_Rate_25_64,Upper_Activity_Rate_25_34
Andalucia,Male,2024.00,17.29,11.79,6.96,66.76,67.21,76.24,72.59,84.54,76.58,80.70,85.90,86.40,85.70,90.90,87.70
Aragon,Male,2024.00,8.07,5.80,2.78,76.73,69.80,84.67,82.71,89.90,88.86,83.50,81.90,89.90,91.00,92.50,93.00
"Asturias, Principado de",Male,2024.00,12.52,8.24,4.61,61.87,71.41,77.48,84.16,84.57,85.77,70.70,87.60,84.40,90.30,88.70,90.30
"Balears, Illes",Male,2024.00,8.47,7.61,4.70,74.68,73.09,81.81,72.88,88.34,84.24,81.60,82.20,88.60,82.80,92.70,90.80
Canarias,Male,2024.00,14.71,10.88,7.33,67.52,70.29,78.60,80.54,81.54,75.46,79.20,88.30,88.20,92.80,88.00,85.50
Cantabria,Male,2024.00,7.82,6.02,4.49,77.52,85.50,83.53,80.96,85.37,82.17,84.10,90.10,88.90,89.10,89.40,87.90
Castilla y Leon,Male,2024.00,10.38,5.51,4.14,75.53,68.24,83.67,84.53,86.20,84.96,84.30,87.30,88.60,91.50,89.90,90.40
Castilla-La Mancha,Male,2024.00,11.43,10.39,4.08,75.67,66.02,79.94,76.07,87.56,84.85,85.40,83.40,89.20,88.80,91.30,91.80
Cataluna,Male,2024.00,11.03,7.29,4.39,73.43,74.52,81.71,80.40,90.03,88.10,82.50,86.10,88.10,89.00,94.20,94.20
Comunitat Valenciana,Male,2024.00,12.63,9.72,6.91,71.73,68.77,79.86,78.66,85.42,79.61,82.10,86.20,88.50,90.50,91.80,90.30
Extremadura,Male,2024.00,14.09,10.85,10.04,69.21,74.62,79.39,79.95,83.58,69.90,80.60,91.00,89.10,89.40,92.90,88.00
Galicia,Male,2024.00,10.52,8.39,5.50,68.18,70.33,78.18,72.87,85.61,79.53,76.20,85.30,85.30,84.00,90.60,88.20
"Madrid, Comunidad de",Male,2024.00,10.57,8.57,5.27,77.06,75.71,81.78,78.85,88.29,85.97,86.20,90.00,89.40,89.00,93.20,94.30
"Murcia, Region de",Male,2024.00,14.33,9.32,4.70,70.90,61.34,79.49,75.59,86.48,82.19,82.80,80.80,87.70,89.90,90.70,90.90
"Navarra, Comunidad Foral de",Male,2024.00,9.13,6.03,3.85,73.48,80.75,84.76,77.17,87.86,84.08,80.90,89.40,90.20,89.70,91.40,90.30
Pais Vasco,Male,2024.00,15.06,11.00,3.61,66.54,40.64,75.65,65.40,88.37,86.46,78.30,61.20,85.00,80.70,91.70,92.70
"Rioja, La",Male,2024.00,10.75,5.45,4.70,75.60,69.96,86.58,82.01,88.69,80.14,84.70,90.30,91.60,90.20,93.10,88.70
Ceuta y Melilla,Male,2024.00,35.18,14.51,6.43,50.57,48.49,74.40,74.46,87.86,79.05,78.00,87.00,87.00,92.10,93.90,90.00
Andalucia,Female,2024.00,27.97,18.32,11.01,42.55,48.78,60.13,60.72,76.75,74.88,59.10,70.20,73.60,77.70,86.20,87.00
Aragon,Female,2024.00,13.53,10.04,5.62,57.88,56.66,73.63,77.15,84.63,81.36,66.90,68.70,81.90,88.10,89.70,89.90
"Asturias, Principado de",Female,2024.00,17.32,11.48,6.50,50.07,55.00,66.77,67.72,80.41,75.40,60.60,69.50,75.40,82.60,86.00,84.50
"Balears, Illes",Female,2024.00,13.87,9.29,5.88,57.61,54.50,74.86,74.24,83.28,85.65,66.90,71.40,82.50,81.00,88.50,92.20
